year,age,sex,smoking,vaping
2033,104,male,0.004212612821452,0.0002095929093118
2033,105,male,0.0040826200867408,0.0001870047159207
2033,106,male,0.0039566227272269,0.0002652105049163
2033,107,male,0.0038344989123415,0.0002590756075373
2033,108,male,0.0037161304675828,0.0002611673581643
2033,109,male,0.0036014027683889,0.0002714857567973
2034,0,male,0.0,0.0
2034,1,male,0.0,0.0
2034,2,male,0.0,0.0
2034,3,male,0.0,0.0
2034,4,male,0.0,0.0
2034,5,male,0.0,0.0
2034,6,male,0.0,0.0
2034,7,male,0.0,0.0
2034,8,male,0.0,0.0
2034,9,male,0.0,0.0
2034,10,male,0.0,0.0
2034,11,male,0.0,0.0
2034,12,male,0.0,0.0
2034,13,male,0.0,0.0
2034,14,male,0.0,0.0
2034,15,male,0.0065268852930748,0.2198478347167465
2034,16,male,0.0109500710978033,0.2603939067350396
2034,17,male,0.0183155306044749,0.2924303093173948
2034,18,male,0.0282710661995762,0.3407245305128257
2034,19,male,0.0433987734442808,0.4085177487512481
2034,20,male,0.0499603042866945,0.4340269504798869
2034,21,male,0.0574543003109224,0.4437871305309447
2034,22,male,0.0601035857778561,0.4377982889044217
2034,23,male,0.0628668848531957,0.4160604256003177
2034,24,male,0.0626746601426554,0.3785735406186327
2034,25,male,0.0624829839989799,0.338056119395747
2034,26,male,0.0641376334526155,0.2976083083616392
2034,27,male,0.0658330237622996,0.2748348640237009
2034,28,male,0.066179737964066,0.2554148301002694
2034,29,male,0.0665281481192833,0.2393482065913448
2034,30,male,0.0643297449019901,0.226634993496927
2034,31,male,0.0621991467517093,0.2336461817878687
2034,32,male,0.0609654572360336,0.2247613735275894
2034,33,male,0.0597546781932066,0.2177907676843794
2034,34,male,0.0579744012564284,0.2127343642582386
2034,35,male,0.0562439915165618,0.2086544661302553
2034,36,male,0.0534523697891321,0.2022810092119214
2034,37,male,0.0507918506613068,0.197650829210738
2034,38,male,0.0500043485794962,0.1927156822317192
2034,39,male,0.0492284230876742,0.187475568274865
2034,40,male,0.0484639235286296,0.1819304873401755
2034,41,male,0.0483894613020974,0.1730670888317056
2034,42,male,0.0483151076736628,0.1674418938263467
2034,43,male,0.0482408625027839,0.161776641785653
2034,44,male,0.0481667256490449,0.1560713327096246
2034,45,male,0.0480926969721576,0.1505634879353674
2034,46,male,0.0475538194698835,0.1429954159802552
2034,47,male,0.0470206818167899,0.1372503433448923
2034,48,male,0.0464932295307231,0.1309455176439656
2034,49,male,0.0459714084975894,0.1240809388774751
2034,50,male,0.0454551649723764,0.1166566070454209
2034,51,male,0.0453580883991095,0.1037680551400126
2034,52,male,0.0452612093174641,0.0960865410463324
2034,53,male,0.0451645273676197,0.0882764358218393
2034,54,male,0.0450680421902326,0.0803377394665331
2034,55,male,0.0449717534264351,0.0698014009142105
2034,56,male,0.0441128707712241,0.0534146579477424
2034,57,male,0.0432696481065377,0.0445948681208406
2034,58,male,0.0424418280814276,0.0374588426812002
2034,59,male,0.0416291565016188,0.0320065816288214
2034,60,male,0.0408313823334604,0.028238084963704
2034,61,male,0.0385875857436516,0.0349681937466091
2034,62,male,0.0364624046331663,0.0330173636914853
2034,63,male,0.0344500722465156,0.0319753669413583
2034,64,male,0.0325450477528106,0.0318422034962281
2034,65,male,0.030742013504272,0.032777913593168
2034,66,male,0.0287799734130026,0.0341761301386979
2034,67,male,0.0269396756736691,0.034453709934384
2034,68,male,0.0252139983744511,0.0342076380756698
2034,69,male,0.0235961823656903,0.0334379145625551
2034,70,male,0.0220798196704857,0.0321445393950401
2034,71,male,0.0200405657423161,0.0270252182502686
2034,72,male,0.0181861512262115,0.0252651629515978
2034,73,male,0.0165004420367997,0.023271767587349
2034,74,male,0.0149686022696789,0.0210450321575224
2034,75,male,0.0135770096340773,0.0180814382746101
2034,76,male,0.0123075783476097,0.0136010954720357
2034,77,male,0.0111554948291441,0.0111012527069035
2034,78,male,0.0101101512406027,0.0089910518910388
2034,79,male,0.0091618556750519,0.0072704930244415
2034,80,male,0.0083017608427819,0.0059395761071115
